      0.8700      0.000000	    0.000000	    0.287000
      1.7400      0.187500	    0.072300	    0.313600
      2.6100      0.193548	    0.102648	    0.354148
      3.4800      0.193548	    0.115548	    0.416448
      4.3500      0.307692	    0.156392	    0.425792
      5.2200      0.358974	    0.254374	    0.425774
      6.0900      0.358974	    0.254374	    0.426274
      6.9600      0.358974	    0.254374	    0.426274
      7.8300      0.358974	    0.254374	    0.437774
      8.7000      0.363636	    0.265336	    0.441836
      9.5700      0.370370	    0.306070	    0.441870
     10.4400      0.370370	    0.310870	    0.441870
     11.3100      0.370370	    0.310870	    0.441870
     12.1800      0.370370	    0.310870	    0.441870
     13.0500      0.370370	    0.310870	    0.441870
     13.9200      0.370370	    0.310870	    0.441870
     14.7900      0.370370	    0.310870	    0.442270
     15.6600      0.370370	    0.310870	    0.451470
     16.5300      0.370370	    0.310970	    0.593270
     17.4000      0.475000	    0.314600	    0.595100
     18.2700      0.475000	    0.325200	    0.601300
     19.1400      0.475000	    0.359900	    0.696300
     20.0100      0.594595	    0.470995	    0.743795
     20.8800      0.594595	    0.470995	    0.743795
     21.7500      0.625000	    0.511700	    0.782300
     22.6200      0.696429	    0.538929	    0.788129
     23.4900      0.696429	    0.579829	    0.788129
     24.3600      0.696429	    0.583029	    0.798729
     25.2300      0.696429	    0.600729	    0.798729
     26.1000      0.696429	    0.600729	    0.830529
     26.9700      0.696429	    0.600729	    0.830529
     27.8400      0.769231	    0.629631	    0.834531
     28.7100      0.774194	    0.665494	    0.838094
     29.5800      0.774194	    0.672794	    0.846194
     30.4500      0.776119	    0.693719	    0.846219
     31.3200      0.776119	    0.693719	    0.857919
     32.1900      0.776119	    0.702519	    0.862519
     33.0600      0.776119	    0.710219	    0.865919
     33.9300      0.776119	    0.710219	    0.865919
     34.8000      0.776119	    0.711519	    0.865919
     35.6700      0.776119	    0.711519	    0.923419
     36.5400      0.877778	    0.764378	    0.923378
     37.4100      0.877778	    0.773878	    0.924278
     38.2800      0.877778	    0.805178	    0.924278
     39.1500      0.877778	    0.805278	    0.927478
     40.0200      0.877778	    0.805278	    0.945178
     40.8900      0.877778	    0.805278	    0.945178
     41.7600      0.877778	    0.819078	    0.945178
     42.6300      0.877778	    0.819578	    0.945178
     43.5000      0.877778	    0.819578	    0.979178
     44.3700      0.961326	    0.841526	    0.979226
     45.2400      0.961326	    0.873826	    0.979226
     46.1100      0.961326	    0.908426	    0.979226
     46.9800      0.961326	    0.908426	    0.979226
     47.8500      0.961326	    0.922126	    0.979226
     48.7200      0.961326	    0.930526	    0.979226
     49.5900      0.961326	    0.930526	    0.979226
     50.4600      0.961326	    0.933826	    0.979226
     51.3300      0.961326	    0.934526	    0.979226
     52.2000      0.961326	    0.934526	    0.979226
     53.0700      0.961326	    0.935526	    0.979226
     53.9400      0.961326	    0.935526	    0.979226
     54.8100      0.961326	    0.935726	    0.979226
     55.6800      0.961326	    0.935726	    0.979226
     56.5500      0.961326	    0.935726	    0.979226
     57.4200      0.961326	    0.935726	    0.979226
     58.2900      0.961326	    0.935726	    0.979226
     59.1600      0.961326	    0.935726	    0.979226
     60.0300      0.961326	    0.935726	    0.988626
     60.9000      0.961326	    0.935726	    0.988626
     61.7700      0.961326	    0.935726	    0.988626
     62.6400      0.961326	    0.935726	    0.996826
     63.5100      0.976190	    0.938290	    0.996790
     64.3800      0.976190	    0.940390	    0.996790
     65.2500      0.976190	    0.943090	    0.996790
     66.1200      0.976190	    0.943490	    0.996790
     66.9900      0.976190	    0.943490	    0.996790
     67.8600      0.976190	    0.943490	    0.996790
     68.7300      0.976190	    0.943490	    0.996790
     69.6000      0.976190	    0.943490	    1.000000
     70.4700      1.000000	    0.948800	    1.000000
     71.3400      1.000000	    0.948800	    1.000000
     72.2100      1.000000	    0.954900	    1.000000
     73.0800      1.000000	    0.955700	    1.000000
     73.9500      1.000000	    0.955700	    1.000000
     74.8200      1.000000	    0.958600	    1.000000
     75.6900      1.000000	    0.964600	    1.000000
     76.5600      1.000000	    0.969100	    1.000000
     77.4300      1.000000	    0.970400	    1.000000
     78.3000      1.000000	    0.972300	    1.000000
     79.1700      1.000000	    0.973400	    1.000000
     80.0400      1.000000	    0.975600	    1.000000
     80.9100      1.000000	    0.975600	    1.000000
     81.7800      1.000000	    0.976100	    1.000000
     82.6500      1.000000	    0.976600	    1.000000
     83.5200      1.000000	    0.977500	    1.000000
     84.3900      1.000000	    0.977500	    1.000000
     85.2600      1.000000	    0.977500	    1.000000
     86.1300      1.000000	    0.977900	    1.000000
     87.0000      1.000000	    0.977900	    1.000000
